NOMGARE;PAYS;VILLEDESSERVIE;X;Y;TGV
Boussy-Saint-Antoine;France;Boussy-Saint-Antoine;48,68118201;2,53318477; 
Boutigny-sur-Essonne;France;Boutigny-sur-Essonne;48,43489966;2,37654251; 
Bouvines;France;Bouvines;50,57314804;3,20230954; 
Bouy;France;Bouy;49,09087157;4,35351882; 
Bouziès;France;Bouzies;44,48854136;1,62213848; 
Bouzonville;France;Bouzonville;49,29010996;6,52926028; 
Boves;France;Boves;49,8465974;2,3982248; 
Bram;France;Bram;43,243805;2,1200962; 
Brandérion;France;Branderion;47,78231484;-3,19509052; 
Brassac-les-Mines;France;Brassac-les-Mines;45,4142918;3,33067463; 
Brax;France;Brax;43,61458696;1,23730214; 
Brazey-en-Morvan;France;Brazey-en-Morvan;47,17236682;4,28191807; 
Brazey-en-Plaine;France;Brazey-en-Plaine;47,13176216;5,2118244; 
Breaute;France;Breaute;49,60359483;0,41716198;
